Epoch	Training Error	Validation Error
1	0,432321	0,294098
2	0,287253	0,260624
3	0,252781	0,255180
4	0,245042	0,253230
5	0,243634	0,253421
6	0,242853	0,251521
7	0,242257	0,252597
8	0,241800	0,250246
9	0,241514	0,252521
10	0,241337	0,249419
11	0,241402	0,253026
12	0,241410	0,249025
13	0,241749	0,254054
14	0,242035	0,248909
15	0,242291	0,255028
16	0,242745	0,248679
17	0,242481	0,255109
18	0,242771	0,248128
19	0,242098	0,254618
20	0,242308	0,247339
21	0,241329	0,253680
22	0,241454	0,246394
23	0,240308	0,252499
24	0,240377	0,245377
25	0,239168	0,251235
26	0,239215	0,244345
27	0,238001	0,247705
28	0,236261	0,242580
29	0,235569	0,247445
30	0,235775	0,241950
31	0,235122	0,247174
32	0,235401	0,241252
33	0,234542	0,246721
34	0,234872	0,240482
35	0,233831	0,246122
36	0,234212	0,239651
37	0,233021	0,245433
38	0,233462	0,238773
39	0,232150	0,244700
40	0,232662	0,237861
41	0,231241	0,243951
42	0,231837	0,236915
43	0,230304	0,243192
44	0,230993	0,235926
45	0,229336	0,242417
46	0,230127	0,234879
47	0,228317	0,241611
48	0,229225	0,233745
49	0,227223	0,240744
50	0,228263	0,232482
51	0,226017	0,236944
52	0,224853	0,230108
53	0,223227	0,237394
54	0,224844	0,229037
55	0,222672	0,237359
56	0,224555	0,227378
57	0,221315	0,236390
58	0,223444	0,225042
59	0,219173	0,234662
60	0,221639	0,222064
61	0,216350	0,232314
62	0,219277	0,218481
63	0,212914	0,229356
64	0,216387	0,214351
65	0,208931	0,225777
66	0,212973	0,209805
67	0,204530	0,221684
68	0,209133	0,205019
69	0,199897	0,217199
70	0,204956	0,200145
71	0,195201	0,212368
72	0,200471	0,195298
73	0,190535	0,207238
74	0,195704	0,190545
75	0,185966	0,193206
76	0,182447	0,184330
77	0,179748	0,195386
78	0,184641	0,182056
79	0,177936	0,191708
80	0,181208	0,177882
81	0,173989	0,185681
82	0,175524	0,173550
83	0,169839	0,179247
84	0,169448	0,169288
85	0,165746	0,173803
86	0,164328	0,166248
87	0,162955	0,169048
88	0,159863	0,163380
89	0,160331	0,164277
90	0,155389	0,159096
91	0,156178	0,157451
92	0,148935	0,153485
93	0,150590	0,150068
94	0,141950	0,146680
95	0,143703	0,142472
96	0,134774	0,139046
97	0,135897	0,134954
98	0,127687	0,131275
99	0,127905	0,127852
100	0,121000	0,123967
101	0,120350	0,121313
102	0,114864	0,117754
103	0,113926	0,116028
104	0,109938	0,112771
105	0,108808	0,111554
106	0,105787	0,108638
107	0,104595	0,107742
108	0,102267	0,105173
109	0,101090	0,104480
110	0,099270	0,102253
111	0,098163	0,101678
112	0,096708	0,099767
113	0,095692	0,099260
114	0,094508	0,097631
115	0,093590	0,097157
116	0,092602	0,095769
117	0,091776	0,095309
118	0,090931	0,094123
119	0,090190	0,093671
120	0,089453	0,092652
121	0,088786	0,092207
122	0,088134	0,091324
123	0,087530	0,090887
124	0,086946	0,090116
125	0,086396	0,089689
126	0,085867	0,089009
127	0,085365	0,088594
128	0,084882	0,087987
129	0,084421	0,087586
130	0,083976	0,087042
131	0,083550	0,086656
132	0,083140	0,086163
133	0,082745	0,085793
134	0,082365	0,085344
135	0,081998	0,084990
136	0,081643	0,084578
137	0,081301	0,084241
138	0,080970	0,083861
139	0,080650	0,083540
140	0,080340	0,083187
141	0,080040	0,082882
142	0,079749	0,082553
143	0,079467	0,082263
144	0,079193	0,081956
145	0,078927	0,081679
146	0,078669	0,081391
147	0,078417	0,081128
148	0,078173	0,080856
149	0,077934	0,080605
150	0,077702	0,080349
151	0,077476	0,080110
152	0,077255	0,079866
153	0,077040	0,079638
154	0,076829	0,079407
155	0,076624	0,079188
156	0,076422	0,078967
157	0,076226	0,078758
158	0,076033	0,078547
159	0,075844	0,078345
160	0,075659	0,078144
161	0,075477	0,077950
162	0,075299	0,077756
163	0,075124	0,077569
164	0,074951	0,077382
165	0,074782	0,077202
166	0,074616	0,077022
167	0,074452	0,076847
168	0,074290	0,076673
169	0,074131	0,076504
170	0,073974	0,076335
171	0,073819	0,076170
172	0,073666	0,076006
173	0,073516	0,075847
174	0,073367	0,075687
175	0,073219	0,075531
176	0,073074	0,075376
177	0,072930	0,075224
178	0,072788	0,075072
179	0,072647	0,074923
180	0,072507	0,074774
181	0,072369	0,074629
182	0,072232	0,074483
183	0,072096	0,074341
184	0,071962	0,074198
185	0,071829	0,074058
186	0,071696	0,073917
187	0,071565	0,073780
188	0,071435	0,073642
189	0,071305	0,073506
190	0,071177	0,073371
191	0,071049	0,073237
192	0,070923	0,073104
193	0,070797	0,072972
194	0,070672	0,072840
195	0,070547	0,072711
196	0,070424	0,072580
197	0,070301	0,072453
198	0,070179	0,072324
199	0,070057	0,072198
200	0,069937	0,072071
